product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,reachable_dependencies,reachable_dependencies_loc,reachable_dependency_files,reachable_dependency_files_loc,reachable_dependency_functions,reachable_dependency_functions_loc,total_dependencies_count,total_dependencies_loc,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,bloated_deps_count_1,bloated_deps_loc_1,bloated_files_count_1,bloated_files_loc_1,bloated_functions_count_1,bloated_functions_loc_1,used_direct_deps_count_1,used_direct_deps_loc_1,used_direct_files_count_1,used_direct_files_loc_1,used_direct_functions_count_1,used_direct_functions_loc_1,transitive_bloated_dependencies_count,transitive_bloated_dependencies_loc,transitive_bloated_files_count,transitive_bloated_files_loc,transitive_bloated_functions_count,transitive_bloated_functions_loc,transitive_used_dependencies_count,transitive_used_dependencies_loc,transitive_used_files_count,transitive_used_files_loc,transitive_used_functions_count,transitive_used_functions_loc
mozillasecurity/grizzly,185,46882,1816,35022,5198,79100,340,112283,14,86634,90,41795,618,12915,20,20,6,25649,250,70488,4586,66185,0,0,133,18502,1751,21983,8,42239,60,23737,378,8631,6,25649,117,51986,2835,44202,6,44395,30,18058,240,4284
mozillasecurity/ffpuppet,26,6199,214,4929,564,7017,13,10485,2,10485,11,10320,107,1267,2,2,0,0,2,165,457,5750,0,0,2,165,457,5750,2,10485,11,10320,107,1267,0,0,0,0,0,0,0,0,0,0,0,0
mozillasecurity/funfuzz,38,6226,191,4919,5999,111362,459,150249,4,134062,15,11124,39,1142,7,7,3,16187,444,139125,5960,110220,0,0,391,112925,5316,91953,3,122886,13,9961,36,1065,3,16187,53,26200,644,18267,1,11176,2,1163,3,77
buckket/twtxt,13,1551,102,942,2755,45710,136,64431,7,57671,28,23693,172,4204,13,13,6,6760,108,40738,2586,41506,0,0,63,21223,1921,24813,4,39419,21,18196,136,3406,6,6760,45,19515,665,16693,3,18252,7,5497,36,798
simetenn/uncertainpy,63,25753,1124,19769,28333,617929,1808,901811,16,855546,190,150547,926,31164,29,29,13,46265,1618,751264,27413,586765,0,0,290,108094,2832,45307,8,131991,79,23897,280,5887,13,46265,1328,643170,24581,541458,8,723555,111,126650,646,25277
foremast/foremast,159,13854,372,8712,19357,239585,1460,407204,16,178173,74,44016,461,8795,47,47,31,229031,1386,363188,18896,230790,5,29925,486,93419,5641,63345,9,84866,40,21372,262,5527,26,199106,900,269769,13255,167445,7,93307,34,22644,199,3268
onecodex/onecodex,49,9990,387,7775,6744,100335,631,193017,12,170071,56,31779,312,6428,22,22,10,22946,575,161238,6434,93907,1,4647,358,83340,2344,33281,7,97195,33,18502,166,3570,9,18299,217,77898,4090,60626,5,72876,23,13277,146,2858
ejeschke/ginga,277,118440,6636,80190,12755,291344,914,402332,6,399492,177,201048,1026,35626,7,7,1,2840,737,201284,11733,255718,1,2840,709,194107,10953,228776,3,367602,168,176335,1004,34993,0,0,28,7177,780,26942,3,31890,9,24713,22,633
slaclab/pydm,113,32462,1563,21650,17124,386387,1188,530651,7,492876,90,73963,759,19144,14,14,7,37775,1098,456688,16365,367243,2,6433,965,399615,14212,328606,6,465338,86,72156,695,18199,5,31342,133,57073,2153,38637,1,27538,4,1807,64,945
dropbox/dropbox-sdk-python,39,156142,9634,73732,19103,256495,1387,489046,3,34313,12,6522,54,993,51,51,48,454733,1375,482524,19056,255502,1,998,50,18776,1166,16844,2,23137,10,5359,51,916,47,453735,1325,463748,17890,238658,1,11176,2,1163,3,77
